,Animal By-Products,E-waste,Fiber bags,Food waste,Glass,Liquid Waste,Paper and carton,Plastics,Tins/cans
161,0,1,1,1,0,1,1,1,1
162,0,0,1,1,1,1,1,1,1
163,0,0,0,1,0,0,1,0,0
164,0,0,0,1,1,1,1,1,0
165,0,0,0,1,1,1,1,1,1
166,0,0,0,1,0,1,1,1,0
167,0,0,0,1,0,1,1,1,0
168,0,1,0,1,0,0,1,1,0
169,1,0,0,1,0,1,1,1,0
170,0,0,0,1,0,1,1,0,0
171,0,0,0,1,0,0,1,0,0
172,0,0,0,0,0,0,1,0,0
173,0,0,0,1,0,1,0,1,0
174,0,0,0,0,0,0,0,0,1
175,0,0,0,1,1,0,1,1,1
176,0,0,0,1,0,0,1,1,0
177,0,1,1,1,1,1,1,1,1
178,0,1,0,1,0,1,1,1,0
179,0,1,0,1,0,1,1,1,0
180,1,0,0,1,0,1,1,1,1
181,0,0,0,1,0,0,1,0,0
182,0,0,1,1,1,0,0,1,0
183,0,0,0,1,0,0,1,1,0
184,0,0,0,1,0,0,0,0,0
185,0,0,0,1,0,0,0,0,0
186,0,1,1,1,1,1,1,1,1
187,0,0,0,1,0,0,0,0,0
188,0,0,0,1,0,1,0,1,0
189,0,0,0,1,0,0,0,1,0
190,0,0,0,1,0,1,1,1,0
191,0,0,0,1,0,0,1,0,0
192,0,0,0,1,0,0,1,0,0
193,0,1,0,1,1,1,1,1,1
194,0,0,0,1,0,1,0,1,0
195,0,0,0,1,0,1,0,1,0
196,0,0,0,1,0,1,0,1,1
197,0,1,0,1,0,0,1,0,0
198,0,0,0,1,0,1,0,1,0
199,0,0,0,1,0,0,0,0,0
200,0,0,0,1,0,0,1,1,1
201,0,0,0,1,0,1,1,1,1
202,0,0,0,1,0,1,1,1,0
203,0,0,0,1,0,0,1,1,0
204,0,1,0,1,0,1,0,1,0
205,0,1,1,0,0,0,1,1,0
206,0,0,0,1,0,0,1,1,0
207,0,1,1,1,1,1,1,1,1
208,0,0,0,1,1,0,1,1,1
209,0,0,0,1,0,0,1,1,0
210,0,0,0,1,0,0,1,1,0
211,0,0,1,1,0,1,1,1,0
212,0,0,0,1,0,0,1,1,0
213,0,0,0,1,0,0,1,1,1
214,0,0,0,1,0,0,1,1,0
215,0,0,1,1,1,1,1,1,1
216,0,0,0,0,0,0,1,0,0
217,0,0,0,1,0,1,1,1,0
218,0,0,0,1,0,0,1,1,0
219,0,0,0,1,0,0,1,0,0
220,0,0,1,1,0,0,1,1,0
221,0,0,0,1,0,1,1,1,0
222,0,1,0,1,0,0,1,1,1
223,0,0,0,1,0,0,0,0,0
224,0,0,0,1,0,1,1,1,0
225,0,1,1,1,1,1,1,1,1
226,0,0,1,1,0,0,1,1,0
227,0,0,0,0,0,0,1,1,0
228,0,0,0,1,1,1,1,1,0
229,0,0,0,1,0,0,1,1,0
230,0,0,0,1,0,0,0,0,0
231,0,0,0,0,0,0,1,1,0
232,0,0,0,1,0,1,1,1,0
233,0,0,0,0,0,0,1,0,0
234,0,0,0,1,0,0,1,1,0
235,0,0,0,1,0,0,1,1,1
236,0,1,0,1,1,0,1,1,0
237,0,1,0,1,0,0,1,1,0
238,0,0,0,1,0,0,1,0,0
239,0,0,0,1,0,0,1,1,0
240,0,0,0,1,0,0,1,1,1
241,0,1,0,1,0,0,1,0,0
242,0,0,1,1,0,1,0,1,0
243,0,0,1,1,1,1,1,1,0
244,0,0,0,1,0,0,1,1,0
245,0,0,0,1,0,0,1,1,0
246,0,0,1,1,0,0,1,1,0
247,0,0,1,1,0,0,1,1,1
248,0,0,0,1,0,0,0,1,0
249,0,0,0,0,0,0,1,1,0
250,0,0,0,1,0,0,1,0,0
251,0,0,0,1,0,1,0,1,0
252,0,0,0,1,0,0,1,0,0
253,0,0,1,1,1,0,1,1,0
254,0,0,1,1,1,1,1,1,0
255,0,0,1,1,1,1,1,1,0
256,0,0,0,1,0,0,1,1,0
257,0,0,0,1,0,0,1,0,0
258,0,0,0,0,0,1,0,0,0
259,0,0,0,0,1,0,1,1,0
260,0,0,1,1,1,0,1,0,0
261,0,0,0,0,0,0,1,0,0
262,0,0,0,0,1,0,0,0,0
263,0,0,0,1,1,1,1,1,0
264,0,0,0,1,1,1,1,1,0
265,0,0,0,0,0,1,0,0,0
266,0,0,1,1,0,0,0,0,0
267,0,0,0,0,0,0,0,1,0
268,0,0,0,0,0,0,1,1,1
269,0,0,0,0,0,1,1,1,0
270,0,1,1,1,1,1,1,1,1
271,0,0,0,1,0,0,1,0,0
272,0,0,0,0,0,0,1,0,0
273,0,0,0,1,0,0,1,0,0
274,0,1,1,1,1,1,1,1,1
275,0,0,0,1,0,0,1,1,0
276,0,0,0,1,0,0,1,1,1
277,0,0,0,1,0,0,1,1,0
278,0,0,0,1,0,0,1,1,0
279,0,0,0,0,1,0,1,0,0
280,0,0,0,1,0,0,0,0,0
281,0,0,0,1,0,1,0,0,0
282,0,0,0,1,0,1,0,0,0
283,0,1,0,1,0,1,0,1,0
